"lfdn";"dispcode";"lastpage";"duration";"wdq_10";"wdq_40";"wdq_09";"wdq_23";"wdq_35";"wdq_41";"wdq_16";"wdq_32";"wdq_07";"wdq_12";"wdq_48";"wdq_30";"wdq_11";"wdq_36";"wdq_39";"wdq_22";"wdq_47";"wdq_18";"wdq_34";"wdq_17";"wdq_42";"wdq_26";"wdq_21";"wdq_14";"wdq_38";"wdq_28";"wdq_43";"wdq_15";"wdq_25";"wdq_37";"wdq_03";"wdq_45";"wdq_46";"wdq_27";"wdq_05";"wdq_29";"wdq_02";"wdq_04";"wdq_01";"wdq_31";"wdq_13";"wdq_24";"wdq_33";"wdq_06";"wdq_44";"wdq_20";"wdq_08";"wdq_19";"svs_01";"svs_02";"svs_03";"svs_04";"svs_05";"svs_06";"svs_07";"svs_08";"svs_09";"svs_10";"svs_11";"svs_12";"svs_13";"svs_14";"svs_15";"svs_16";"svs_17";"svs_18";"svs_19";"eim_01";"eim_22";"eim_24";"eim_25";"eim_13";"eim_05";"eim_19";"eim_27";"eim_17";"eim_33";"eim_10";"eim_30";"eim_14";"eim_28";"eim_18";"eim_21";"eim_26";"eim_31";"eim_23";"eim_34";"eim_32";"eim_09";"eim_16";"eim_36";"eim_03";"eim_15";"eim_29";"eim_02";"eim_35";"eim_11";"eim_07";"eim_06";"eim_12";"eim_08";"eim_04";"eim_20";"v_167";"v_168";"v_169";"v_170";"v_171";"v_172";"v_173";"v_179";"v_181";"v_182";"v_183";"v_184";"v_185";"v_186";"v_187";"v_188";"v_189";"v_190";"v_191";"v_192";"v_193";"v_194";"v_195";"v_196";"v_201";"v_202";"v_203";"v_204";"v_205";"v_206";"v_207";"v_208";"v_209";"v_210";"v_211";"v_215";"v_216";"v_217";"v_218";"v_219";"v_220";"v_222";"v_223";"v_224";"v_225";"v_226";"v_227";"v_228";"v_229";"v_230";"v_231";"v_232";"v_233";"v_234";"v_235";"v_236";"v_237";"v_238";"v_239";"v_240";"v_241";"v_242";"v_243";"v_244";"v_245";"v_246";"v_247";"v_248";"v_249";"v_250";"v_251";"v_252";"v_253"
19;31;693602;792;2;1;1;1;2;1;2;2;2;1;1;2;1;2;2;2;1;2;2;2;1;1;1;1;2;NA;2;2;2;2;2;2;1;1;2;2;2;2;1;2;1;1;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;1;2;1;2;1;1;2;2;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;1;1;2;0;1;0;0;0;NA;"1";3;0;0;0;0;0;0;0;0;0;NA;0;1;1;0;0;0;0;NA;0;0;0;0;0;0;NA;2;NA;34;1;0;0;0;1;0;0;0;1;0;1;0;NA;0;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;0;0;0;1;0;0;0;NA;9
20;22;693323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;32;693602;-1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;NA;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;0;0;0;0;NA;"0";5;0;0;0;0;0;0;0;0;0;NA;0;1;0;0;1;0;0;NA;0;0;0;0;0;0;NA;1;1;29;1;0;0;1;0;1;0;0;0;0;1;0;NA;0;1;1;0;0;0;0;0;0;0;0;1;0;0;NA;1;0;0;0;0;1;0;NA;77
22;22;693544;88;2;1;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;22;693323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;22;693323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;31;693602;662;2;1;1;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;NA;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;1;2;2;1;2;2;1;1;1;2;2;1;2;2;2;2;1;1;1;1;2;2;1;2;1;2;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;2;2;2;1;2;0;0;1;0;0;NA;"8";3;0;0;0;0;0;0;0;0;1;"Scilab";0;1;0;0;0;0;1;"Internal to Company";0;0;0;0;0;1;"Not Published";2;1;37;1;0;0;1;0;0;0;0;0;1;0;0;NA;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA;0;0;0;0;1;0;0;NA;184
26;31;693602;967;2;1;1;1;2;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;NA;1;2;2;1;2;1;1;1;2;2;2;1;2;2;1;2;2;2;1;1;1;2;2;1;2;1;2;2;2;2;1;2;1;1;2;2;2;2;2;1;2;1;1;1;2;2;2;2;1;2;2;1;2;1;2;2;2;1;2;1;2;2;1;2;2;1;2;2;2;2;1;2;2;2;1;1;2;1;0;0;0;0;NA;"3";4;0;0;0;0;0;0;0;0;0;NA;0;7;1;0;0;0;1;"My own webpage.";0;0;0;0;0;0;NA;1;1;29;1;0;0;1;0;1;0;0;0;0;1;0;NA;0;1;0;0;0;0;0;0;0;0;0;1;0;0;NA;1;0;0;0;0;0;0;NA;61
28;31;693602;3538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;1;2;2;1;2;1;1;1;2;1;2;2;0;0;0;1;0;NA;"7";3;0;0;0;0;0;0;0;0;0;NA;1;2;0;0;0;0;1;NA;0;0;0;0;0;1;NA;2;2;42;1;0;0;0;0;0;0;0;0;1;0;0;NA;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA;0;0;0;0;1;0;0;NA;204
29;32;693602;-1;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;1;2;1;2;1;1;2;1;1;2;NA;2;1;2;2;2;1;2;1;2;2;2;2;1;2;1;2;2;2;1;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;0;0;0;0;1;"government lab";"7";5;0;0;0;0;0;0;0;0;0;NA;1;6;0;1;0;0;0;"personal site";0;0;0;0;0;0;"bioinformatics";2;1;39;1;0;0;0;1;1;0;0;1;1;0;0;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;NA;1;0;0;1;1;0;0;NA;184
30;22;693323;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;31;693602;668;2;1;1;1;2;1;2;1;2;1;1;2;1;2;1;1;1;2;2;1;1;2;1;1;1;NA;1;2;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;1;2;1;1;2;2;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;2;NA;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;0;0;0;0;NA;"3";4;0;0;0;0;0;0;0;0;0;NA;1;3;1;0;0;0;0;NA;0;0;0;1;0;0;NA;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;NA;0;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;1;0;0;0;0;1;0;NA;66
32;31;693602;977;2;1;1;1;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;NA;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1;2;2;1;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;2;1;2;1;1;1;2;1;1;2;1;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;0;0;0;0;NA;"1";5;1;0;0;0;0;0;0;0;1;"Statistica";0;1;0;0;1;0;0;NA;0;0;0;0;0;0;NA;2;1;0;2;0;0;1;0;0;0;0;1;0;0;0;NA;0;1;0;0;0;0;0;0;0;0;0;1;0;0;NA;0;0;0;1;0;0;0;NA;162
33;22;693323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;31;693602;741;2;2;2;1;2;2;2;2;1;2;2;1;2;2;1;1;2;2;1;2;1;1;2;2;1;NA;2;2;1;1;2;1;2;1;1;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;0;1;1;0;0;NA;"0";4;1;0;0;0;0;0;0;0;1;"STELLA";2;0;1;0;1;1;0;NA;0;0;0;0;0;1;"Ecological Journals";2;1;36;1;0;0;0;1;1;0;0;1;0;1;0;NA;0;0;0;0;0;1;0;1;0;0;0;0;0;0;NA;1;0;0;1;0;1;0;NA;162
35;31;693602;1265;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;2;NA;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2;1;1;2;2;2;1;2;1;1;0;0;0;0;NA;"4";5;1;1;0;0;0;0;0;0;0;NA;2;2;1;0;1;0;0;NA;0;0;0;0;0;0;NA;2;1;26;1;0;0;1;0;0;0;1;0;0;0;0;NA;0;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;1;0;1;0;0;0;0;NA;10
36;31;693602;1053;2;2;2;2;2;1;2;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;1;1;2;NA;1;1;1;2;2;1;1;1;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;1;2;2;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;0;0;1;0;0;NA;"5";5;0;0;0;0;0;0;0;0;0;NA;0;2;0;0;1;0;0;NA;0;0;0;0;0;0;NA;2;1;52;1;0;0;0;1;1;0;0;0;0;1;0;NA;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA;1;0;0;0;1;0;0;NA;183
